school_code,school_name,school_type,charter_status,address,latitude,longitude,ward,census_tract,zipcode,marid,phone,choice_set,choice_set_schools,ms_choice_set,n_eligible,n_attending,sy12_enrollment,building_capacity,new_fp_ms,new_fp_hs,old_fp_ms,old_fp_hs,grades,esea
285,Moten ES,Regular school,FALSE,1565 Morris Rd SE,38.856656,-76.98294368,Ward 8,7407,20020,294524,202-698-1111,D,"[""257"",""285"",""307""]","[""413"",""416"",""417""]",1170,281,335,480,417,450,416,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
307,Savoy ES,Regular school,FALSE,2400 Shannon Pl SE,38.86285199,-76.99360426,Ward 8,7401,20020,278153,202-939-2000,D,"[""257"",""285"",""307""]","[""413"",""416"",""417""]",1092,287,387,425,417,450,417,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
259,Kimball ES,Regular school,FALSE,3375 Minnesota Ave SE,38.88308309,-76.95757271,Ward 7,9901,20019,294565,202-671-6260,E,"[""259"",""291"",""316""]","[""421"",""427""]",597,215,289,398,427,450,427,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
291,Orr ES,Regular school,FALSE,2200 Minnesota Ave SE,38.87179716,-76.97448402,Ward 8,7601,20020,294539,202-671-6240,E,"[""259"",""291"",""316""]","[""413"",""416"",""417""]",415,139,346,337,417,450,417,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
316,Randle Highlands ES,Regular school,FALSE,1650 30th St SE,38.87009174,-76.96435628,Ward 7,7604,20020,156337,202-729-3250,E,"[""259"",""291"",""316""]","[""413"",""416"",""417""]",426,154,358,450,417,450,417,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Developing
247,C W Harris ES,Regular school,FALSE,301 53rd St SE,38.88359883,-76.9261155,Ward 7,9905,20019,289801,202-645-3188,F,"[""247"",""288"",""299""]","[""421"",""427""]",564,146,265,438,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
288,Nalle ES,Regular school,FALSE,219 50th St SE,38.88595442,-76.93079651,Ward 7,9904,20019,294474,202-671-6280,F,"[""247"",""288"",""299""]","[""421"",""427""]",668,174,335,400,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
299,Plummer ES,Regular school,FALSE,4601 Texas Ave SE,38.8872402,-76.93993468,Ward 7,9906,20019,19536,202-939-4360,F,"[""247"",""288"",""299""]","[""421"",""427""]",798,181,263,448,427,450,427,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Developing
221,Burrville ES,Regular school,FALSE,801 Division Ave NE,38.90056577,-76.92445918,Ward 7,7807,20019,289787,202-671-6020,G,"[""221"",""231"",""251""]","[""421"",""427""]",716,207,357,400,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Developing
231,Drew ES,Regular school,FALSE,5600 Eads St NE,38.89599397,-76.91992701,Ward 7,7807,20019,277686,202-671-6040,G,"[""221"",""231"",""251""]","[""421"",""427""]",447,84,164,445,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
251,Houston ES,Regular school,FALSE,1100 50th Pl NE,38.90541532,-76.92994765,Ward 7,7806,20019,156316,202-671-6170,G,"[""221"",""231"",""251""]","[""421"",""427""]",530,162,238,398,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
202,Aiton ES,Regular school,FALSE,533 48th Pl NE,38.89700181,-76.93370092,Ward 7,7804,20019,294490,202-671-6060,H,"[""202"",""322"",""325""]","[""421"",""427""]",546,148,252,442,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
322,Smothers ES,Regular school,FALSE,4400 Brooks St NE,38.89355404,-76.93846864,Ward 7,7803,20019,294596,202-939-3600,H,"[""202"",""322"",""325""]","[""421"",""427""]",669,154,282,344,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Developing
325,Thomas ES,Regular school,FALSE,650 Anacostia Ave NE,38.90127897,-76.95211091,Ward 7,9602,20019,294493,202-724-4593,H,"[""202"",""322"",""325""]","[""421"",""427""]",685,226,312,400,421,464,421,464,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Developing
203,Amidon Bowen ES,Regular school,FALSE,401 Eye St SW,38.8795154,-77.0181253,Ward 6,10200,20024,294482,202-724-4867,I,"[""203"",""195"",""NEW""]","[""407"",""428"",""433""]",699,247,293,400,433,457,433,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
212,Brent ES,Regular school,FALSE,301 North Carolina Ave SE,38.88480121,-77.00145985,Ward 6,6500,20003,294479,202-698-3363,J,"[""212"",""330"",""155""]","[""407"",""428"",""433""]",238,185,358,325,433,457,433,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
330,Tyler ES,Regular school,FALSE,1001 G St SE,38.88108436,-76.99204166,Ward 6,7000,20003,294505,202-939-4810,J,"[""212"",""330"",""155""]","[""407"",""428"",""433""]",324,121,470,500,433,457,407,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
335,Wheatley EC,Regular school,FALSE,1299 Neal St NE,38.90411774,-76.98850077,Ward 5,8802,20002,294512,202-939-5970,K,"[""335"",""404"",""PCS""]","[""346"",""NEW""]",1262,383,465,500,435,467,335,467,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Developing
404,Browne EC,Regular school,FALSE,850 26th St NE,38.90259888,-76.97066706,Ward 5,8904,20002,294501,202-671-6210,K,"[""335"",""404"",""PCS""]","[""407"",""428"",""433""]",1486,218,364,804,404,457,404,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Priority
175,School Within School at Goding,Regular School,FALSE,920 F St. NE,38.89756498,-76.99318304,Ward 6,8402,20002,289072,202-673-8275,L,"[""175"",""271"",""280"",""339"",""360""]","[""407"",""428"",""433""]",182,24,126,350,407,457,NULL,NULL,"[""01"", ""02"", ""KG"", ""PK"", ""PS""]",
271,Ludlow Taylor ES,Regular school,FALSE,659 G St NE,38.89874414,-76.99649249,Ward 6,8302,20002,294494,202-698-3244,L,"[""175"",""271"",""280"",""339"",""360""]","[""407"",""428"",""433""]",276,61,263,412,428,457,428,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
280,Miner ES,Regular school,FALSE,601 15th St NE,38.89737602,-76.98290432,Ward 6,7901,20002,289548,202-397-3960,L,"[""175"",""271"",""280"",""339"",""360""]","[""407"",""428"",""433""]",799,218,475,550,407,457,407,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
339,J O Wilson ES,Regular school,FALSE,660 K Street NE,38.902758,-76.99658902,Ward 6,10600,20002,288841,202-698-4733,L,"[""175"",""271"",""280"",""339"",""360""]","[""407"",""428"",""433""]",341,116,408,400,428,457,428,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Reward
360,Capitol Hill Montessori School at Logan,Regular school,FALSE,215 G Street NE,38.89853031,-77.00256647,Ward 6,8301,20002,286687,202-698-4467,L,"[""175"",""271"",""280"",""339"",""360""]",NULL,,,224,400,360,457,360,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""KG"", ""PK"", ""PS""]",Rising
274,Maury ES,Regular school,FALSE,1250 Constitution Ave NE,38.89218519,-76.9886575,Ward 6,8002,20002,294511,202-698-3838,M,"[""274"",""295"",""301"",""333""]","[""407"",""428"",""433""]",307,170,317,325,407,457,407,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Reward
295,Payne ES,Regular school,FALSE,1445 C St SE,38.88517068,-76.98498373,Ward 6,6900,20003,289721,202-698-3262,M,"[""274"",""295"",""301"",""333""]","[""407"",""428"",""433""]",366,82,245,417,407,457,407,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
301,Peabody ES,Regular school,FALSE,425 C St NE,38.89289632,-76.99985799,Ward 6,8200,20002,288145,202-698-3277,M,"[""274"",""295"",""301"",""333""]","[""407"",""428"",""433""]",182,41,230,228,428,457,428,457,"[""KG"", ""PK"", ""PS""]",
333,Watkins ES,Regular school,FALSE,420 12th St SE,38.88346701,-76.98999677,Ward 6,6900,20003,294486,202-698-3355,M,"[""274"",""295"",""301"",""333""]","[""407"",""428"",""433""]",328,69,527,587,428,457,428,457,"[""01"", ""02"", ""03"", ""04"", ""05""]",Rising
262,Langdon EC,Regular school,FALSE,1900 Evarts St NE,38.92470416,-76.97708185,Ward 5,11100,20018,294532,202-576-6048,N,"[""262"",""290"",""370""]","[""346"",""NEW""]",1108,200,350,500,346,467,262,467,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Priority
290,Noyes EC,Regular school,FALSE,2725 10th St NE,38.92517798,-76.99184288,Ward 5,9302,20018,289594,202-281-2580,N,"[""262"",""290"",""370""]","[""346"",""NEW""]",525,100,282,360,346,467,290,467,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Developing
370,Langley EC,Regular school,FALSE,101 T Street NE,38.91516879,-77.00588662,Ward 5,8701,20002,285757,202-724-4223,N,"[""262"",""290"",""370""]","[""346"",""NEW""]",1455,252,417,530,435,467,435,467,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
220,Burroughs EC,Regular school,FALSE,1820 Monroe St NE,38.93350266,-76.97845637,Ward 5,9400,20018,294530,202-576-6150,O,"[""220"",""346"",""PCS""]","[""346"",""NEW""]",668,143,283,450,346,467,220,467,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Rising
346,Brookland EC at Bunker Hill,Regular school,FALSE,1401 Michigan Ave NE,38.94201247,-76.98499564,Ward 5,9503,20017,286131,202-576-6095,O,"[""220"",""346"",""PCS""]","[""346"",""NEW""]",1119,169,274,480,346,467,346,455,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Developing
264,LaSalle Backus EC,Regular school,FALSE,501 Riggs Road NE,38.95997214,-76.99988254,Ward 4,9507,20011,294489,202-671-6340,P,"[""264"",""313"",""324"",""338""]","[""346"",""NEW""]",1808,228,288,400,NEW,455,264,455,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Priority
313,Shepherd ES,Regular school,FALSE,7800 14th St NW,38.98460328,-77.03399523,Ward 4,1600,20012,256319,202-576-6140,P,"[""264"",""313"",""324"",""338""]","[""246"",""405""]",217,90,314,342,405,463,405,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Rising
324,Takoma EC,Vocational Shared Time,FALSE,7010 Piney Branch Rd NW,38.97504287,-77.02279493,Ward 4,10300,20012,250934,202-671-6050,P,"[""264"",""313"",""324"",""338""]","[""346"",""NEW""]",611,203,366,450,NEW,455,324,455,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Focus
338,Whittier EC,Regular school,FALSE,6201 5th St NW,38.96585727,-77.0192386,Ward 4,1902,20011,294614,202-576-6156,P,"[""264"",""313"",""324"",""338""]","[""346"",""NEW""]",819,184,339,520,NEW,455,338,455,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Focus
205,Barnard ES,Regular school,FALSE,430 Decatur St NW,38.94823095,-77.01777708,Ward 4,2202,20011,248305,202-576-1100,Q,"[""205"",""213"",""327"",""336""]","[""NEW""]",785,321,569,520,NEW,459,NULL,459,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
213,Brightwood EC,Regular school,FALSE,1300 Nicholson St NW,38.96053573,-77.03068885,Ward 4,2001,20011,294515,202-722-5670,Q,"[""205"",""213"",""327"",""336""]","[""346"",""NEW""]",1483,471,573,550,NEW,455,213,455,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Focus
327,Truesdell EC,Regular school,FALSE,800 Ingraham St NW,38.95396869,-77.02507158,Ward 4,2101,20011,294497,202-576-6202,Q,"[""205"",""213"",""327"",""336""]","[""NEW""]",1640,362,468,450,NEW,459,327,459,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Rising
336,West EC,Regular school,FALSE,1338 Farragut St NW,38.95136741,-77.03225306,Ward 4,2002,20011,294517,202-576-6226,Q,"[""205"",""213"",""327"",""336""]","[""NEW""]",435,95,243,278,336,459,336,459,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Rising
296,Bruce Monroe ES at Park View,Regular school,FALSE,3560 Warder St NW,38.9344141,-77.02118567,Ward 1,3200,20010,294583,202-576-6222,R,"[""296"",""300"",""302"",""328""]","[""NEW""]",576,179,442,450,NEW,459,442,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Reward
300,Powell ES,Regular school,FALSE,1350 Upshur St NW,38.94153434,-77.03122742,Ward 4,2502,20011,255302,202-671-6270,R,"[""296"",""300"",""302"",""328""]","[""NEW""]",1074,242,391,380,NEW,459,442,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
302,Raymond EC,Regular school,FALSE,915 Spring Rd NW,38.93581121,-77.02643266,Ward 4,2502,20010,226682,202-576-6236,R,"[""296"",""300"",""302"",""328""]","[""NEW""]",825,208,451,465,302,459,302,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Rising
328,Tubman ES,Regular school,FALSE,3101 13th St NW,38.92919857,-77.0294433,Ward 1,3000,20010,294555,202-673-7285,R,"[""296"",""300"",""302"",""328""]","[""NEW""]",1046,282,506,500,442,454,442,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
284,Marie Reed ES,Regular school,FALSE,2201 18th St. NW,38.91911214,-77.04082224,Ward 1,3800,20009,310614,202-673-7308,S,"[""204"",""227"",""284""]","[""NEW""]",217,68,362,470,NEW,454,454,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
204,Bancroft ES,Regular school,FALSE,1755 Newton St NW,38.93431836,-77.04055344,Ward 1,2701,20010,294528,202-673-7280,S,"[""204"",""227"",""284""]","[""246"",""405""]",518,248,473,563,405,463,442,442,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
227,H D Cooke ES,Regular school,FALSE,2525 17th St NW,38.92394309,-77.03881058,Ward 1,3800,20009,235863,202-939-5390,S,"[""204"",""227"",""284""]","[""NEW""]",413,133,388,440,442,454,442,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
232,Eaton ES,Regular school,FALSE,3301 Lowell St NW,38.93272707,-77.06582114,Ward 3,600,20008,294562,202-282-0103,T,"[""232"",""258"",""292""]","[""246"",""405""]",201,160,459,415,246,463,246,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
258,Hearst ES,Regular school,FALSE,3950 37th St NW,38.94072265,-77.07195522,Ward 3,600,20008,294586,202-282-0106,T,"[""232"",""258"",""292""]","[""246"",""405""]",103,48,273,325,405,463,405,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
292,Oyster Adams Bilingual School,Regular school,FALSE,2801 Calvert St NW,38.92359583,-77.05720337,Ward 3,501,20008,275944,202-671-6130,T,"[""232"",""258"",""292""]",NULL,335,215,668,324,292,454,292,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Reward
254,Janney ES,Regular school,FALSE,4130 Albemarle St NW,38.94755042,-77.08099483,Ward 3,1001,20016,285713,202-282-0110,U,"[""254"",""261"",""287""]","[""246"",""405""]",588,554,599,570,405,463,405,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
261,Lafayette ES,Regular school,FALSE,5701 Broad Branch Rd NW,38.96662755,-77.06803712,Ward 4,1500,20015,294611,202-282-0116,U,"[""254"",""261"",""287""]","[""246"",""405""]",666,621,689,516,405,463,405,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
287,Murch ES,Regular school,FALSE,4810 36th St NW,38.95293352,-77.07007921,Ward 3,1100,20008,294602,202-282-0130,U,"[""254"",""261"",""287""]","[""246"",""405""]",520,472,572,488,405,463,405,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
272,Key ES,Regular school,FALSE,5001 Dana Pl NW,38.92680184,-77.10052732,Ward 3,902,20016,294605,202-729-3280,V,"[""272"",""273"",""321""]","[""246"",""405""]",342,317,375,320,246,463,246,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
273,Mann ES,Regular school,FALSE,4430 Newark St NW,38.93429231,-77.08782619,Ward 3,801,20016,294597,202-282-0126,V,"[""272"",""273"",""321""]","[""246"",""405""]",274,251,286,370,246,463,246,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
321,Stoddert ES,Regular school,FALSE,4001 Calvert St NW,38.92304465,-77.0790738,Ward 3,702,20007,224730,202-671-6030,V,"[""272"",""273"",""321""]","[""246"",""405""]",374,313,368,320,246,463,246,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
252,Hyde Addison ES,Regular school,FALSE,3219 O St NW,38.90801957,-77.06453782,Ward 2,202,20007,294558,202-282-0170,W,"[""252"",""305"",""409""]","[""246"",""405""]",144,127,332,330,246,463,246,463,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK""]",Reward
305,Ross ES,Regular school,FALSE,1730 R St NW,38.91239115,-77.03966214,Ward 2,5301,20009,241714,202-673-7200,W,"[""252"",""305"",""409""]","[""NEW""]",107,61,154,150,NEW,454,454,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Reward
409,School Without Walls at Francis Stevens,Regular school,FALSE,2425 N St. NW,38.9074695,-77.052321,Ward 2,5500,20037,294544,202-724-4841,W,"[""252"",""305"",""409""]",NULL,259,42,224,410,409,454,409,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Rising
224,Cleveland ES,Regular school,FALSE,1825 8th St NW,38.91514529,-77.02270718,Ward 1,4400,20001,294531,202-939-4380,X,"[""224"",""239"",""309""]","[""NEW""]",141,73,297,320,NEW,454,454,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
239,Garrison ES,Regular school,FALSE,1200 S St NW,38.91390129,-77.02861256,Ward 2,5001,20009,294509,202-673-7263,X,"[""224"",""239"",""309""]","[""NEW""]",309,71,228,356,NEW,454,454,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
309,Seaton ES,Regular school,FALSE,1503 10th St NW,38.9106187,-77.02488247,Ward 6,4901,20001,279203,202-673-7215,X,"[""224"",""239"",""309""]","[""NEW""]",388,91,256,325,NEW,454,454,454,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
326,Thomson ES,Regular school,FALSE,1200 L St NW,38.90349634,-77.02843003,Ward 2,10100,20005,240922,202-898-4660,Y,"[""326"",""332"",""PCS""]","[""NEW""]",397,185,300,320,NEW,454,433,457,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
332,Walker Jones EC,Regular school,FALSE,1125 New Jersey Ave NW,38.90419198,-77.01391569,Ward 6,4701,20001,307735,202-939-5934,Y,"[""326"",""332"",""PCS""]",NULL,753,250,426,700,332,467,332,467,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG"", ""PK"", ""PS""]",Focus
246,Hardy MS,Regular school,FALSE,1819 35th St NW,38.91550903,-77.0686139,Ward 2,202,20007,274432,202-729-4350,,,,116,43,404,650,,,,,"[""06"", ""07"", ""08""]",Rising
265,Mamie D Lee School,Special Education school,FALSE,100 Gallatin St NE,38.95251344,-77.00722496,Ward 5,9508,20011,294470,202-576-6090,,,,,,96,300,,,,,"[""01"", ""02"", ""04"", ""05"", ""06"", ""07"", ""08"", ""KG""]",
312,Sharpe Health School,Special Education School,FALSE,4300 13th St NW,38.94347466,-77.03046833,Ward 4,2501,20011,255254,202-576-6161,,,,,,85,400,,,,,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""08"", ""09""]",
402,Benjamin Banneker HS,Magnet School,FALSE,800 Euclid St NW,38.92383276,-77.02397697,Ward 1,3500,20001,294496,202-671-6320,,,,,,394,620,,,,,"[""09"", ""10"", ""11"", ""12""]",Reward
405,Deal MS,Regular school,FALSE,3815 Fort Dr NW,38.95289674,-77.07519907,Ward 3,1100,20016,277548,202-939-2010,,,,1049,822,1165,1090,,,,,"[""06"", ""07"", ""08""]",Reward
407,Eliot Hine MS,Regular school,FALSE,1830 Constitution Ave NE,38.89243149,-76.97897792,Ward 6,8002,20002,286499,202-939-5380,,,,368,75,281,742,,,,,"[""06"", ""07"", ""08""]",Rising
413,Hart MS,Regular school,FALSE,601 Mississippi Ave SE,38.83773787,-76.99717875,Ward 8,9804,20032,5534,202-671-6426,,,,1315,417,517,912,,,,,"[""06"", ""07"", ""08""]",Developing
416,John Hayden Johnson MS,Regular school,FALSE,1400 Bruce Pl SE,38.85133691,-76.98370368,Ward 8,7404,20020,294520,202-939-3140,,,,963,206,244,1015,,,,,"[""06"", ""07"", ""08""]",Priority
417,Kramer MS,Regular school,FALSE,1700 Q St SE,38.8712864,-76.9801713,Ward 8,7601,20020,289467,202-939-3150,,,,799,201,277,550,,,,,"[""06"", ""07"", ""08""]",Priority
421,Kelly Miller MS,Regular school,FALSE,301 49th St NE,38.89331541,-76.93245515,Ward 7,7804,20019,294476,202-388-6870,,,,697,187,353,600,,,,,"[""06"", ""07"", ""08""]",Priority
427,Sousa MS,Regular school,FALSE,3650 Ely Pl SE,38.88389441,-76.95315884,Ward 7,7703,20019,294584,202-729-3260,,,,511,151,304,636,,,,,"[""06"", ""07"", ""08""]",Rising
428,Stuart Hobson MS,Regular school,FALSE,410 E St NE,38.8962977,-77.00000438,Ward 6,8301,20002,294483,202-671-6010,,,,76,34,371,410,,,,,"[""06"", ""07"", ""08""]",Rising
433,Jefferson Middle School Academy,Regular school,FALSE,801 7th St SW,38.87987093,-77.02291066,Ward 6,10200,20024,276812,202-671-6376,,,,267,121,279,570,,,,,"[""06"", ""07"", ""08""]",
